epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.850579,0.163492,1.780663,0.166667,0.001
2,1.795589,0.177778,1.772013,0.166667,0.001
3,1.784399,0.183333,1.77619,0.211111,0.001
4,1.780454,0.18254,1.776342,0.27037,0.001
5,1.773774,0.188095,1.773923,0.296296,0.001
6,1.777538,0.2,1.769213,0.251852,0.001
7,1.759066,0.206349,1.757234,0.2,0.001
8,1.765213,0.215873,1.75626,0.340741,0.001
9,1.749505,0.238095,1.723648,0.362963,0.001
10,1.73116,0.240476,1.720106,0.311111,0.001
11,1.740949,0.254762,1.695843,0.348148,0.001
12,1.722967,0.242063,1.69382,0.340741,0.001
13,1.719628,0.250794,1.697041,0.333333,0.001
14,1.737196,0.242063,1.705688,0.351852,0.001
15,1.725156,0.245238,1.682633,0.251852,0.001
16,1.706902,0.256349,1.654553,0.348148,0.001
17,1.695536,0.263492,1.664411,0.318519,0.001
18,1.706904,0.253968,1.62255,0.381481,0.001
19,1.710949,0.242063,1.637654,0.348148,0.001
20,1.706581,0.25873,1.640118,0.351852,0.001
