epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.788565,0.176984,1.769518,0.174074,0.01
2,1.765063,0.194444,1.755043,0.196296,0.01
3,1.754048,0.21746,1.744566,0.311111,0.01
4,1.734725,0.228571,1.722981,0.244444,0.01
5,1.72112,0.248413,1.709231,0.314815,0.01
6,1.696531,0.276984,1.690673,0.288889,0.01
7,1.671867,0.288889,1.667556,0.285185,0.01
8,1.660219,0.311111,1.650305,0.311111,0.01
9,1.651663,0.315873,1.649409,0.274074,0.01
10,1.598066,0.338889,1.597035,0.314815,0.01
11,1.581026,0.343651,1.558089,0.414815,0.01
12,1.570375,0.324603,1.517176,0.433333,0.01
13,1.521162,0.363492,1.589331,0.314815,0.01
14,1.593049,0.349206,1.543105,0.366667,0.01
15,1.503723,0.366667,1.486432,0.422222,0.01
16,1.51398,0.380159,1.540174,0.344444,0.01
17,1.512749,0.372222,1.464877,0.403704,0.01
18,1.494431,0.373016,1.461752,0.440741,0.01
19,1.497412,0.351587,1.487924,0.355556,0.01
20,1.479141,0.388889,1.496263,0.414815,0.01
